#timestamp x y z qw qx qy qz
1779938710.323469 505971.265542 2495863.707848 19.614070 -0.089074 -0.012088 0.031928 0.995440
1779938710.423470 505971.196399 2495863.823018 19.605846 -0.095273 -0.023347 0.024319 0.994880
1779938710.523470 505971.131481 2495863.933327 19.602403 -0.090522 -0.026893 0.022234 0.995283
1779938710.623472 505971.074743 2495864.042153 19.620118 -0.069886 -0.029386 0.023288 0.996850
1779938710.723471 505971.024974 2495864.145718 19.632011 -0.060211 -0.035145 0.038085 0.996840
1779938710.823473 505970.971162 2495864.257736 19.618787 -0.059290 -0.022753 0.037002 0.997295
1779938710.923473 505970.911121 2495864.380527 19.596620 -0.066095 0.000653 0.042333 0.996915
1779938711.023474 505970.850398 2495864.510659 19.586766 -0.085076 0.012357 0.048058 0.995138
1779938711.123473 505970.788108 2495864.642636 19.599460 -0.099425 0.012960 0.048708 0.993768
1779938711.223477 505970.721263 2495864.769672 19.616247 -0.096906 0.013421 0.048677 0.994012
1779938711.323478 505970.653280 2495864.889246 19.619703 -0.109200 0.019801 0.043677 0.992862
1779938711.423478 505970.587775 2495865.001156 19.610201 -0.100996 0.023533 0.035352 0.993980
1779938711.523480 505970.527829 2495865.107938 19.605287 -0.067858 0.036052 0.025372 0.996721
1779938711.623480 505970.476537 2495865.208291 19.616335 -0.074161 0.052196 0.041889 0.994998
1779938711.723481 505970.434999 2495865.308607 19.618058 -0.041720 0.042250 0.059425 0.996465
1779938711.823482 505970.391993 2495865.421696 19.598130 -0.019967 0.040757 0.046243 0.997899
1779938711.923483 505970.340716 2495865.548379 19.578535 -0.024500 0.061450 0.031075 0.997325
1779938712.023483 505970.285504 2495865.682866 19.579145 -0.019225 0.074073 0.021733 0.996831
1779938712.123484 505970.225568 2495865.811505 19.598505 -0.012756 0.082972 0.022172 0.996224
1779938712.223486 505970.161992 2495865.933180 19.617114 -0.038016 0.074625 0.019199 0.996302
1779938712.323485 505970.093522 2495866.047662 19.616948 -0.059601 0.053653 0.010675 0.996722
1779938712.423487 505970.019874 2495866.154299 19.606445 -0.052463 0.038423 0.007234 0.997857
1779938712.523487 505969.945741 2495866.258586 19.609258 -0.036723 0.034491 0.005733 0.998714
1779938712.623489 505969.880655 2495866.360458 19.622584 -0.056144 0.023646 0.026813 0.997782
1779938712.723488 505969.820077 2495866.465375 19.619613 -0.048533 0.011575 0.037412 0.998054
1779938712.823489 505969.753187 2495866.582089 19.602882 -0.055734 0.010116 0.028943 0.997975
1779938712.923490 505969.680255 2495866.710656 19.588508 -0.078308 0.012911 0.015652 0.996723
1779938713.023491 505969.606514 2495866.843104 19.592789 -0.088766 0.009870 0.014493 0.995898
1779938713.123493 505969.533131 2495866.972140 19.610903 -0.127115 0.016016 0.026339 0.991409
1779938713.223492 505969.461695 2495867.095955 19.624403 -0.142117 0.021950 0.039472 0.988819
1779938713.323493 505969.392169 2495867.215010 19.617261 -0.139450 0.030480 0.033359 0.989198
1779938713.423494 505969.321493 2495867.326417 19.605133 -0.124387 0.047307 0.034031 0.990521
1779938713.523495 505969.249920 2495867.433001 19.608757 -0.109380 0.074955 0.055269 0.989628
1779938713.623495 505969.185303 2495867.534708 19.616906 -0.121808 0.089160 0.090438 0.984396
1779938713.723496 505969.121768 2495867.638694 19.604176 -0.097840 0.083237 0.098139 0.986847
1779938713.823496 505969.051879 2495867.751667 19.579693 -0.092519 0.079399 0.077659 0.989497
1779938713.923498 505968.977236 2495867.874930 19.565331 -0.112319 0.071719 0.053392 0.989641
1779938714.023500 505968.903827 2495868.001685 19.572558 -0.105664 0.047793 0.051711 0.991906
1779938714.123500 505968.829348 2495868.129339 19.589900 -0.120056 0.031159 0.055674 0.990715
1779938714.223501 505968.750171 2495868.252932 19.604704 -0.125640 0.024359 0.054546 0.990276
1779938714.323502 505968.672871 2495868.366699 19.603494 -0.136907 0.026774 0.036768 0.989539
1779938714.423504 505968.598133 2495868.468397 19.595009 -0.133553 0.033947 0.024847 0.990148
1779938714.523506 505968.527041 2495868.566843 19.598851 -0.136415 0.029994 0.035088 0.989576
1779938714.623506 505968.464047 2495868.667819 19.603230 -0.135592 0.000582 0.053151 0.989338
1779938714.723507 505968.397874 2495868.776413 19.590217 -0.122002 -0.021678 0.051555 0.990953
1779938714.823509 505968.322485 2495868.894930 19.574815 -0.136642 -0.014107 0.045276 0.989485
1779938714.923509 505968.247739 2495869.024889 19.575779 -0.161286 0.011171 0.015759 0.986719
1779938715.023510 505968.178942 2495869.154894 19.599062 -0.169125 0.020589 0.007348 0.985352
1779938715.123509 505968.111293 2495869.277024 19.622491 -0.177665 0.023380 0.032676 0.983270
1779938715.223511 505968.044593 2495869.395309 19.625296 -0.182625 0.027050 0.047672 0.981654
1779938715.323512 505967.978043 2495869.507924 19.610970 -0.158486 0.034542 0.048821 0.985548
1779938715.423514 505967.910780 2495869.613674 19.600280 -0.128900 0.046927 0.052722 0.989143
1779938715.523516 505967.843403 2495869.715263 19.607267 -0.117562 0.067602 0.072919 0.988075
1779938715.623518 505967.779732 2495869.814932 19.615611 -0.105915 0.076105 0.092143 0.987167
1779938715.723518 505967.713291 2495869.920614 19.606593 -0.092562 0.077462 0.075150 0.989841
1779938715.823520 505967.641116 2495870.035228 19.592250 -0.098634 0.072179 0.049945 0.991245
1779938715.923521 505967.567158 2495870.156586 19.590222 -0.112945 0.066570 0.041678 0.990492
1779938716.023522 505967.492278 2495870.276344 19.603490 -0.118562 0.071706 0.047978 0.989191
1779938716.123524 505967.415639 2495870.389113 19.616890 -0.131837 0.079402 0.054240 0.986596
1779938716.223523 505967.339284 2495870.497949 19.615698 -0.129130 0.065081 0.043671 0.988526
1779938716.323525 505967.260139 2495870.598539 19.606551 -0.106374 0.051462 0.031265 0.992501
1779938716.423524 505967.179099 2495870.694922 19.610360 -0.101365 0.062248 0.031996 0.992384
1779938716.523526 505967.106319 2495870.789924 19.625492 -0.118342 0.064027 0.048668 0.989711
1779938716.623526 505967.039589 2495870.886245 19.623963 -0.123679 0.047807 0.050266 0.989895
1779938716.723527 505966.967399 2495870.995205 19.605958 -0.115613 0.033198 0.038070 0.992009
1779938716.823531 505966.890687 2495871.116436 19.589453 -0.138508 0.031140 0.033106 0.989318
1779938716.923530 505966.816232 2495871.242886 19.596202 -0.170060 0.036885 0.049830 0.983482
1779938717.023532 505966.746245 2495871.371510 19.617455 -0.177817 0.036013 0.053853 0.981929
